name,date,price,year,month,day,stock_id,log_return
vcb,2020-10-16,67731,2020,10,16,3,
vcb,2020-10-19,67194,2020,10,19,3,-0.007960019795333869
vcb,2020-10-20,67347,2020,10,20,3,0.0022744006058294354
vcb,2020-10-21,66195,2020,10,21,3,-0.017253427044820635
vcb,2020-10-22,66503,2020,10,22,3,0.0046421280365921405
vcb,2020-10-23,67194,2020,10,23,3,0.010336898402398998
vcb,2020-10-26,66042,2020,10,26,3,-0.017293054559301826
vcb,2020-10-27,66042,2020,10,27,3,0.0
vcb,2020-10-28,64660,2020,10,28,3,-0.02114813097202271
vcb,2020-10-29,64199,2020,10,29,3,-0.007155138046671267
vcb,2020-10-30,63738,2020,10,30,3,-0.007206703224684378
vcb,2020-11-02,65888,2020,11,2,3,0.03317539981944761
vcb,2020-11-03,65274,2020,11,3,3,-0.009362536178378353
vcb,2020-11-04,65274,2020,11,4,3,0.0
vcb,2020-11-05,65274,2020,11,5,3,0.0
vcb,2020-11-06,65274,2020,11,6,3,0.0
vcb,2020-11-09,65658,2020,11,9,3,0.005865656997360383
vcb,2020-11-10,65351,2020,11,10,3,-0.004686709492386045
vcb,2020-11-11,65197,2020,11,11,3,-0.002359286567903238
vcb,2020-11-12,66349,2020,11,12,3,0.017515233470514473
vcb,2020-11-13,66733,2020,11,13,3,0.005770894120954222
vcb,2020-11-16,65888,2020,11,16,3,-0.012743252350161527
vcb,2020-11-17,67270,2020,11,17,3,0.020758041192135427
vcb,2020-11-18,67270,2020,11,18,3,0.0
vcb,2020-11-19,69267,2020,11,19,3,0.029254230267461746
vcb,2020-11-20,71033,2020,11,20,3,0.025175955487908335
vcb,2020-11-23,70342,2020,11,23,3,-0.009775497827411758
vcb,2020-11-24,70957,2020,11,24,3,0.008704999802793385
vcb,2020-11-25,71801,2020,11,25,3,0.011824343765526265
vcb,2020-11-26,72185,2020,11,26,3,0.0053338645479855985
vcb,2020-11-27,72569,2020,11,27,3,0.005305565314510512
vcb,2020-11-30,71417,2020,11,30,3,-0.016001897152827273
vcb,2020-12-01,70649,2020,12,1,3,-0.010811981494767583
vcb,2020-12-02,71801,2020,12,2,3,0.016174448785098883
vcb,2020-12-03,71801,2020,12,3,3,0.0
vcb,2020-12-04,69958,2020,12,4,3,-0.026003341556465744
vcb,2020-12-07,71494,2020,12,7,3,0.02171846811756785
vcb,2020-12-08,71494,2020,12,8,3,0.0
vcb,2020-12-09,74105,2020,12,9,3,0.035869476313983926
vcb,2020-12-10,74643,2020,12,10,3,0.00723374224854111
vcb,2020-12-11,74643,2020,12,11,3,0.0
vcb,2020-12-14,76716,2020,12,14,3,0.027393542915170686
vcb,2020-12-15,75103,2020,12,15,3,-0.02124978686266761
vcb,2020-12-16,76716,2020,12,16,3,0.021249786862667656
vcb,2020-12-17,73721,2020,12,17,3,-0.03982259402303431
vcb,2020-12-18,75948,2020,12,18,3,0.02976119803161272
vcb,2020-12-21,76567,2020,12,21,3,0.008117278940868916
vcb,2020-12-22,75793,2020,12,22,3,-0.010160234423037467
vcb,2020-12-23,75484,2020,12,23,3,-0.004085226832150871
vcb,2020-12-24,75329,2020,12,24,3,-0.002055526441027644
vcb,2020-12-25,75561,2020,12,25,3,0.0030750902355285987
vcb,2020-12-28,75871,2020,12,28,3,0.004094252641998885
vcb,2020-12-29,76800,2020,12,29,3,0.012170110450277593
vcb,2020-12-30,75793,2020,12,30,3,-0.013198700054626292
vcb,2020-12-31,75793,2020,12,31,3,0.0
vcb,2021-01-04,76645,2021,1,4,3,0.011178431519070624
vcb,2021-01-05,76877,2021,1,5,3,0.0030223704303568703
vcb,2021-01-06,81290,2021,1,6,3,0.055816265710053437
vcb,2021-01-07,82838,2021,1,7,3,0.018863885551334777
vcb,2021-01-08,81135,2021,1,8,3,-0.02077245931831563
vcb,2021-01-11,80903,2021,1,11,3,-0.0028635277963104592
vcb,2021-01-12,81755,2021,1,12,3,0.010476063791360337
vcb,2021-01-13,81135,2021,1,13,3,-0.007612535995049811
vcb,2021-01-14,80438,2021,1,14,3,-0.008627732648257834
vcb,2021-01-15,79896,2021,1,15,3,-0.0067609124024086776
vcb,2021-01-18,79974,2021,1,18,3,0.000975792909102644
vcb,2021-01-19,76645,2021,1,19,3,-0.04251721023186537
vcb,2021-01-20,76722,2021,1,20,3,0.0010041274390155837
vcb,2021-01-21,79742,2021,1,21,3,0.03860792409651036
vcb,2021-01-22,79742,2021,1,22,3,0.0
vcb,2021-01-25,79355,2021,1,25,3,-0.004864966194074618
vcb,2021-01-26,78116,2021,1,26,3,-0.01573655553898592
vcb,2021-01-27,75406,2021,1,27,3,-0.03530805397577846
vcb,2021-01-28,70142,2021,1,28,3,-0.07236508873948136
vcb,2021-01-29,72000,2021,1,29,3,0.026144360310779144
