name,date,price,year,month,day,stock_id,log_return
vnm,2020-10-16,99469.6,2020,10,16,5,
vnm,2020-10-19,99747.4,2020,10,19,5,0.0027889204240847377
vnm,2020-10-20,98358.2,2020,10,20,5,-0.014025073208821516
vnm,2020-10-21,98543.4,2020,10,21,5,0.001881143216854891
vnm,2020-10-22,98821.3,2020,10,22,5,0.002816108287412662
vnm,2020-10-23,101877.6,2020,10,23,5,0.030458924144943087
vnm,2020-10-26,102340.7,2020,10,26,5,0.004535350591081528
vnm,2020-10-27,101507.1,2020,10,27,5,-0.00817869652451441
vnm,2020-10-28,99469.6,2020,10,28,5,-0.02027667693104106
vnm,2020-10-29,99006.5,2020,10,29,5,-0.004666565298329938
vnm,2020-10-30,100025.3,2020,10,30,5,0.010237649444039862
vnm,2020-11-02,99654.8,2020,11,2,5,-0.003710939900188754
vnm,2020-11-03,99747.4,2020,11,3,5,0.000928776178563586
vnm,2020-11-04,100025.3,2020,11,4,5,0.0027821637216251856
vnm,2020-11-05,100766.2,2020,11,5,5,0.007379827956492083
vnm,2020-11-06,100766.2,2020,11,6,5,0.0
vnm,2020-11-09,100766.2,2020,11,9,5,0.0
vnm,2020-11-10,99562.2,2020,11,10,5,-0.012020407462427165
vnm,2020-11-11,99562.2,2020,11,11,5,0.0
vnm,2020-11-12,99099.1,2020,11,12,5,-0.004662214923970872
vnm,2020-11-13,99469.6,2020,11,13,5,0.003731710284195868
vnm,2020-11-16,99191.7,2020,11,16,5,-0.0027977284077657597
vnm,2020-11-17,99654.8,2020,11,17,5,0.00465787265328698
vnm,2020-11-18,101321.9,2020,11,18,5,0.016590363336279317
vnm,2020-11-19,101599.8,2020,11,19,5,0.002738989213428073
vnm,2020-11-20,102711.2,2020,11,20,5,0.010879599851347172
vnm,2020-11-23,102433.3,2020,11,23,5,-0.0027093114364818392
vnm,2020-11-24,101507.1,2020,11,24,5,-0.009083108279052819
vnm,2020-11-25,102340.7,2020,11,25,5,0.008178696524514412
vnm,2020-11-26,101785.0,2020,11,26,5,-0.005444697779824287
vnm,2020-11-27,101692.4,2020,11,27,5,-0.0009101748537442719
vnm,2020-11-30,100210.5,2020,11,30,5,-0.014679597085471572
vnm,2020-12-01,101599.8,2020,12,1,5,0.013768593058713278
vnm,2020-12-02,100951.4,2020,12,2,5,-0.006402353724214147
vnm,2020-12-03,101414.5,2020,12,3,5,0.00457686604715999
vnm,2020-12-04,100951.4,2020,12,4,5,-0.004576866047159966
vnm,2020-12-07,101877.6,2020,12,7,5,0.009132879793459378
vnm,2020-12-08,101136.7,2020,12,8,5,-0.007299025628561522
vnm,2020-12-09,101599.8,2020,12,9,5,0.004568499559316255
vnm,2020-12-10,103729.9,2020,12,10,5,0.020748838763503988
vnm,2020-12-11,104285.6,2020,12,11,5,0.005342883794101115
vnm,2020-12-14,105026.6,2020,12,14,5,0.007080362211274098
vnm,2020-12-15,102989.0,2020,12,15,5,-0.0195914649973667
vnm,2020-12-16,103359.5,2020,12,16,5,0.003591016151271138
vnm,2020-12-17,102248.1,2020,12,17,5,-0.010810989718115874
vnm,2020-12-18,102248.1,2020,12,18,5,0.0
vnm,2020-12-21,102803.8,2020,12,21,5,0.005420104475246599
vnm,2020-12-22,101785.0,2020,12,22,5,-0.00995957179941187
vnm,2020-12-23,102062.8,2020,12,23,5,0.0027255645827370103
vnm,2020-12-24,100673.6,2020,12,24,5,-0.013704709594518102
vnm,2020-12-25,100951.4,2020,12,25,5,0.0027556124070643936
vnm,2020-12-28,100673.6,2020,12,28,5,-0.0027556124070643004
vnm,2020-12-29,101136.7,2020,12,29,5,0.004589466571962096
vnm,2020-12-30,100766.2,2020,12,30,5,-0.003670085133710136
vnm,2020-12-31,100766.2,2020,12,31,5,0.0
vnm,2021-01-04,101229.3,2021,1,4,5,0.004585258695109342
vnm,2021-01-05,103566.1,2021,1,5,5,0.022821815559401708
vnm,2021-01-06,102631.3,2021,1,6,5,-0.009067101761051041
vnm,2021-01-07,103192.2,2021,1,7,5,0.005450314356755374
vnm,2021-01-08,104687.7,2021,1,8,5,0.01438836366962589
vnm,2021-01-11,108333.1,2021,1,11,5,0.03422910734783273
vnm,2021-01-12,108707.0,2021,1,12,5,0.003445449664687295
