"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2022","74,000.0","78,100.0","78,100.0","73,600.0","844.20K","1.37%"
"10/13/2022","73,000.0","72,200.0","73,000.0","71,500.0","829.20K","0.83%"
"10/12/2022","72,400.0","71,000.0","73,300.0","71,000.0","1.46M","1.97%"
"10/11/2022","71,000.0","74,000.0","74,000.0","71,000.0","1.59M","-4.05%"
"10/10/2022","74,000.0","73,500.0","75,500.0","72,100.0","1.63M","0.00%"
"10/07/2022","74,000.0","76,200.0","76,200.0","74,000.0","2.06M","-3.27%"
"10/06/2022","76,500.0","78,900.0","78,900.0","76,500.0","1.27M","-2.42%"
"10/05/2022","78,400.0","79,000.0","79,500.0","78,400.0","971.90K","1.16%"
"10/04/2022","77,500.0","78,000.0","79,000.0","77,200.0","2.04M","0.65%"
"10/03/2022","77,000.0","79,600.0","80,300.0","76,400.0","1.25M","-4.35%"
"09/30/2022","80,500.0","77,000.0","80,800.0","76,900.0","2.11M","4.55%"
"09/29/2022","77,000.0","79,800.0","80,100.0","77,000.0","1.30M","-1.28%"
"09/28/2022","78,000.0","80,100.0","80,400.0","78,000.0","2.05M","-3.11%"
"09/27/2022","80,500.0","82,000.0","82,000.0","80,500.0","932.90K","-1.23%"
"09/26/2022","81,500.0","81,500.0","82,000.0","80,300.0","1.86M","-1.09%"
"09/23/2022","82,400.0","83,100.0","83,100.0","82,100.0","840.60K","-0.60%"
"09/22/2022","82,900.0","82,000.0","83,000.0","81,900.0","1.17M","0.73%"
"09/21/2022","82,300.0","83,300.0","83,300.0","82,300.0","775.40K","-1.32%"
"09/20/2022","83,400.0","83,100.0","83,800.0","82,300.0","575.00K","0.36%"
"09/19/2022","83,100.0","82,500.0","83,600.0","81,900.0","1.78M","0.73%"
"09/16/2022","82,500.0","83,700.0","83,900.0","82,500.0","1.36M","-1.43%"
"09/15/2022","83,700.0","84,500.0","84,500.0","83,700.0","780.50K","-0.36%"
"09/14/2022","84,000.0","83,500.0","84,500.0","83,500.0","1.31M","-0.71%"
"09/13/2022","84,600.0","85,000.0","85,300.0","84,300.0","1.05M","0.00%"
"09/12/2022","84,600.0","85,100.0","85,200.0","84,300.0","716.00K","0.36%"
"09/09/2022","84,300.0","84,600.0","85,000.0","84,300.0","1.15M","0.00%"
"09/08/2022","84,300.0","84,100.0","85,000.0","83,800.0","1.14M","0.36%"
"09/07/2022","84,000.0","85,500.0","85,900.0","84,000.0","2.24M","-2.10%"
"09/06/2022","85,800.0","86,000.0","86,400.0","85,800.0","1.17M","-0.46%"
"09/05/2022","86,200.0","86,500.0","86,700.0","85,900.0","1.02M","-0.46%"
"08/31/2022","86,600.0","85,800.0","87,000.0","85,800.0","1.17M","0.23%"
"08/30/2022","86,400.0","86,500.0","87,000.0","86,000.0","1.15M","-0.12%"
"08/29/2022","86,500.0","87,000.0","87,000.0","84,700.0","2.23M","-0.80%"
"08/26/2022","87,200.0","86,400.0","87,800.0","86,300.0","1.94M","1.04%"
"08/25/2022","86,300.0","86,200.0","86,700.0","86,000.0","1.14M","0.12%"
"08/24/2022","86,200.0","86,500.0","86,800.0","86,100.0","1.01M","0.23%"
"08/23/2022","86,000.0","85,110.0","86,000.0","85,110.0","1.09M","0.23%"
"08/22/2022","85,802.0","85,605.0","86,297.0","84,913.0","1.63M","-0.12%"
"08/19/2022","85,901.0","86,989.0","87,483.0","85,209.0","1.96M","-1.59%"
"08/18/2022","87,285.0","86,890.0","88,669.0","86,890.0","2.55M","0.00%"
"08/17/2022","87,285.0","87,977.0","88,076.0","86,989.0","1.51M","-0.45%"
"08/16/2022","87,680.0","87,878.0","88,372.0","87,087.0","1.38M","-0.23%"
"08/15/2022","87,878.0","85,605.0","88,076.0","85,605.0","3.09M","2.77%"
"08/12/2022","85,506.0","84,715.0","85,506.0","84,715.0","1.24M","0.58%"
"08/11/2022","85,012.0","85,209.0","85,802.0","84,715.0","1.85M","0.00%"
"08/10/2022","85,012.0","85,308.0","85,703.0","85,012.0","1.12M","-0.23%"
"08/09/2022","85,209.0","85,012.0","86,494.0","84,715.0","2.32M","0.23%"
"08/08/2022","85,012.0","84,913.0","85,407.0","84,320.0","1.59M","0.23%"
"08/05/2022","84,814.0","85,110.0","86,198.0","84,616.0","1.77M","-0.35%"
"08/04/2022","85,110.0","84,122.0","85,605.0","83,924.0","3.05M","1.53%"
"08/03/2022","83,825.0","84,023.0","84,221.0","83,232.0","2.25M","-0.24%"
"08/02/2022","84,023.0","83,035.0","84,122.0","82,540.0","1.88M","1.19%"
"08/01/2022","83,035.0","83,035.0","83,232.0","82,145.0","1.82M","0.60%"
"07/29/2022","82,540.0","84,122.0","84,221.0","82,540.0","1.94M","-1.65%"
"07/28/2022","83,924.0","84,221.0","84,814.0","82,145.0","1.66M","-0.35%"
"07/27/2022","84,221.0","83,628.0","84,221.0","83,430.0","771.10K","0.47%"
"07/26/2022","83,825.3","85,011.5","85,011.5","83,825.3","1.13M","-0.70%"
"07/25/2022","84,418.4","86,000.0","86,000.0","84,121.9","2.25M","0.35%"
"07/22/2022","84,121.9","85,406.9","85,505.8","84,121.9","1.31M","0.12%"
"07/21/2022","84,023.0","84,912.7","84,912.7","83,528.8","1.80M","0.12%"
"07/20/2022","83,924.2","84,023.0","84,912.7","83,034.5","2.85M","2.29%"
"07/19/2022","82,046.0","81,947.1","82,046.0","81,255.2","1.19M","0.00%"
"07/18/2022","82,046.0","81,848.3","83,528.8","81,354.0","1.26M","0.97%"
"07/15/2022","81,255.2","83,034.5","83,034.5","81,255.2","1.38M","-0.72%"
"07/14/2022","81,848.3","81,848.3","82,540.3","81,255.2","891.30K","0.36%"
"07/13/2022","81,551.7","83,034.5","83,034.5","81,551.7","1.14M","-1.20%"
"07/12/2022","82,540.3","81,848.3","82,540.3","81,749.4","602.80K","0.85%"
"07/11/2022","81,848.3","83,627.6","83,627.6","81,848.3","998.10K","-0.96%"
"07/08/2022","82,639.1","82,935.7","83,034.5","82,144.8","910.40K","0.60%"
"07/07/2022","82,144.8","82,935.7","83,627.6","82,144.8","1.29M","-0.48%"
"07/06/2022","82,540.3","83,133.4","84,912.7","82,540.3","2.23M","-2.22%"
"07/05/2022","84,418.4","86,790.8","86,790.8","84,418.4","1.40M","-1.50%"
"07/04/2022","85,703.5","87,482.8","87,482.8","85,011.5","1.01M","-1.48%"
"07/01/2022","86,988.5","86,000.0","87,779.3","83,825.3","1.70M","2.09%"
"06/30/2022","85,209.2","88,471.3","88,866.7","85,209.2","1.51M","-4.22%"
"06/29/2022","88,965.5","87,878.2","88,965.5","87,186.2","1.18M","0.33%"
"06/28/2022","88,669.0","88,471.3","89,163.2","86,197.7","2.30M","3.70%"
"06/27/2022","85,505.8","85,406.9","86,889.7","84,912.7","1.25M","1.17%"
"06/24/2022","84,517.3","85,110.4","86,790.8","84,517.3","902.40K","0.00%"
"06/23/2022","84,517.3","83,034.5","85,802.3","82,738.0","2.02M","1.18%"
"06/22/2022","83,528.8","88,767.8","89,360.9","83,429.9","2.97M","-5.16%"
"06/21/2022","88,075.9","91,338.0","92,425.3","87,977.0","2.46M","-3.15%"
"06/20/2022","90,942.6","92,425.3","93,413.8","90,250.6","2.48M","0.00%"
"06/17/2022","90,942.6","89,262.1","91,535.7","87,977.0","2.32M","0.00%"
"06/16/2022","90,942.6","89,954.0","92,721.9","89,163.2","2.52M","1.66%"
"06/15/2022","89,459.8","89,558.6","89,558.6","86,988.5","1.76M","1.57%"
"06/14/2022","88,075.9","85,011.5","88,866.7","84,517.3","2.31M","3.36%"
"06/13/2022","85,209.2","86,988.5","89,756.3","85,011.5","3.39M","-5.96%"
"06/10/2022","90,613.0","93,413.8","94,484.7","90,613.0","3.57M","-4.60%"
"06/09/2022","94,978.9","95,143.7","95,473.2","93,331.4","2.05M","0.26%"
"06/08/2022","94,731.8","95,802.7","96,873.5","94,319.9","3.19M","-0.52%"
"06/07/2022","95,226.0","92,837.2","95,226.0","89,459.8","4.69M","2.30%"
