"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2022","59,900","61,400","61,600","58,000","2.99M","3.99%"
"10/13/2022","57,600","57,000","58,200","56,500","1.53M","0.17%"
"10/12/2022","57,500","55,500","58,800","55,500","2.89M","3.79%"
"10/11/2022","55,400","57,100","57,600","54,100","2.33M","-2.98%"
"10/10/2022","57,100","53,100","57,300","53,000","3.91M","5.74%"
"10/07/2022","54,000","56,500","57,900","54,000","5.57M","-6.90%"
"10/06/2022","58,000","62,200","62,300","58,000","3.17M","-6.75%"
"10/05/2022","62,200","61,000","63,100","61,000","2.12M","1.97%"
"10/04/2022","61,000","61,200","61,300","60,100","4.02M","2.35%"
"10/03/2022","59,600","62,900","62,900","59,600","4.03M","-6.88%"
"09/30/2022","64,000","63,700","64,200","61,700","4.37M","0.00%"
"09/29/2022","64,000","66,500","66,500","63,700","2.55M","-1.54%"
"09/28/2022","65,000","66,100","67,000","65,000","2.72M","-3.13%"
"09/27/2022","67,100","67,400","68,000","66,800","1.54M","-1.32%"
"09/26/2022","68,000","67,800","68,200","65,600","5.24M","-2.02%"
"09/23/2022","69,400","70,100","70,100","68,600","2.72M","-1.00%"
"09/22/2022","70,100","69,100","70,800","68,300","4.25M","0.14%"
"09/21/2022","70,000","71,000","71,000","70,000","3.11M","-2.37%"
"09/20/2022","71,700","70,900","72,000","69,200","3.38M","1.70%"
"09/19/2022","70,500","72,000","72,800","69,100","4.17M","-2.08%"
"09/16/2022","72,000","73,400","73,700","71,400","4.28M","-2.57%"
"09/15/2022","73,900","73,700","74,800","73,400","3.18M","0.27%"
"09/14/2022","73,700","72,700","73,900","72,600","3.70M","-0.54%"
"09/13/2022","74,100","74,000","74,400","73,300","1.96M","0.14%"
"09/12/2022","74,000","72,200","75,400","72,100","7.35M","2.78%"
"09/09/2022","72,000","72,000","72,400","70,800","2.78M","0.70%"
"09/08/2022","71,500","71,500","72,300","70,500","3.75M","1.13%"
"09/07/2022","70,700","72,600","72,800","70,600","5.67M","-3.02%"
"09/06/2022","72,900","72,600","73,300","72,400","2.60M","0.55%"
"09/05/2022","72,500","73,900","73,900","72,500","2.69M","-2.03%"
"08/31/2022","74,000","72,500","74,000","72,500","4.62M","0.95%"
"08/30/2022","73,300","74,500","75,000","72,900","4.23M","-0.95%"
"08/29/2022","74,000","71,800","74,000","70,700","7.69M","2.49%"
"08/26/2022","72,200","68,700","73,100","68,700","10.85M","5.56%"
"08/25/2022","68,400","67,700","68,700","67,300","5.15M","2.40%"
"08/24/2022","66,800","66,900","67,200","66,300","2.22M","-0.15%"
"08/23/2022","66,900","65,900","67,800","65,900","4.01M","0.60%"
"08/22/2022","66,500","64,600","66,900","64,500","5.86M","3.74%"
"08/19/2022","64,100","64,500","65,400","63,100","2.28M","-0.62%"
"08/18/2022","64,500","65,000","65,800","63,900","4.07M","-0.77%"
"08/17/2022","65,000","66,000","66,400","65,000","2.52M","-1.52%"
"08/16/2022","66,000","65,000","67,000","65,000","3.91M","1.54%"
"08/15/2022","65,000","63,300","65,000","63,000","4.43M","3.17%"
"08/12/2022","63,000","62,900","63,700","62,200","2.42M","0.00%"
"08/11/2022","63,000","64,000","64,200","62,500","2.72M","-0.94%"
"08/10/2022","63,600","63,300","64,300","63,000","1.97M","0.47%"
"08/09/2022","63,300","63,100","63,600","62,900","2.81M","0.64%"
