"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2022","105,100.0","105,000.0","105,900.0","104,600.0","217.20K","0.57%"
"10/13/2022","104,500.0","105,500.0","105,500.0","103,800.0","228.60K","-0.48%"
"10/12/2022","105,000.0","102,800.0","105,900.0","102,800.0","340.10K","0.38%"
"10/11/2022","104,600.0","106,300.0","106,300.0","101,500.0","219.40K","-0.38%"
"10/10/2022","105,000.0","97,200.0","105,900.0","97,200.0","351.10K","1.94%"
"10/07/2022","103,000.0","101,000.0","105,000.0","98,000.0","457.80K","0.19%"
"10/06/2022","102,800.0","102,000.0","104,000.0","102,000.0","385.90K","0.39%"
"10/05/2022","102,400.0","98,600.0","105,000.0","98,500.0","325.10K","3.96%"
"10/04/2022","98,500.0","101,900.0","101,900.0","98,500.0","391.00K","-1.10%"
"10/03/2022","99,600.0","106,900.0","106,900.0","99,600.0","745.30K","-6.92%"
"09/30/2022","107,000.0","111,000.0","111,000.0","104,100.0","1.14M","-3.60%"
"09/29/2022","111,000.0","112,000.0","112,200.0","110,600.0","273.40K","0.00%"
"09/28/2022","111,000.0","111,000.0","111,900.0","110,500.0","376.00K","-0.09%"
"09/27/2022","111,100.0","112,600.0","112,600.0","111,000.0","384.30K","0.00%"
"09/26/2022","111,100.0","113,000.0","113,000.0","110,700.0","501.20K","-2.46%"
"09/23/2022","113,900.0","114,500.0","114,500.0","113,500.0","391.30K","-0.09%"
"09/22/2022","114,000.0","113,400.0","114,300.0","113,400.0","258.40K","0.09%"
"09/21/2022","113,900.0","113,800.0","114,300.0","113,000.0","331.60K","0.80%"
"09/20/2022","113,000.0","112,000.0","113,000.0","112,000.0","337.30K","0.89%"
"09/19/2022","112,000.0","113,200.0","113,700.0","112,000.0","509.60K","-1.06%"
"09/16/2022","113,200.0","112,000.0","115,900.0","111,900.0","2.08M","1.16%"
"09/15/2022","111,900.0","112,000.0","112,700.0","111,700.0","295.00K","0.18%"
"09/14/2022","111,700.0","111,900.0","112,600.0","111,500.0","460.10K","-1.15%"
"09/13/2022","113,000.0","112,200.0","113,800.0","112,200.0","386.50K","0.71%"
"09/12/2022","112,200.0","112,000.0","113,900.0","111,900.0","362.10K","0.36%"
"09/09/2022","111,800.0","112,900.0","112,900.0","111,500.0","207.00K","-0.62%"
"09/08/2022","112,500.0","111,500.0","112,500.0","110,500.0","547.70K","1.35%"
"09/07/2022","111,000.0","114,000.0","114,100.0","111,000.0","1.00M","-2.63%"
"09/06/2022","114,000.0","114,400.0","114,800.0","113,900.0","317.90K","-0.26%"
"09/05/2022","114,300.0","114,800.0","114,800.0","113,800.0","376.00K","-0.44%"
"08/31/2022","114,800.0","114,400.0","114,800.0","113,400.0","630.30K","0.35%"
"08/30/2022","114,400.0","117,000.0","117,000.0","114,000.0","723.20K","-1.80%"
"08/29/2022","116,500.0","115,500.0","116,500.0","113,000.0","1.04M","-1.10%"
"08/26/2022","117,800.0","117,000.0","119,500.0","116,400.0","875.70K","1.03%"
"08/25/2022","116,600.0","117,200.0","117,700.0","116,100.0","421.60K","-0.51%"
"08/24/2022","117,200.0","114,500.0","118,000.0","114,200.0","1.24M","2.36%"
"08/23/2022","114,500.0","114,000.0","114,600.0","113,500.0","259.60K","-0.26%"
"08/22/2022","114,800.0","113,100.0","115,400.0","113,100.0","409.40K","0.70%"
"08/19/2022","114,000.0","113,500.0","114,400.0","112,800.0","546.90K","-0.35%"
"08/18/2022","114,400.0","114,800.0","114,800.0","113,000.0","426.60K","-0.44%"
"08/17/2022","114,900.0","115,000.0","115,400.0","114,400.0","310.50K","-0.09%"
"08/16/2022","115,000.0","115,300.0","115,300.0","114,500.0","274.60K","0.26%"
"08/15/2022","114,700.0","113,600.0","115,500.0","112,700.0","683.00K","1.15%"
"08/12/2022","113,400.0","114,100.0","114,800.0","112,500.0","494.80K","-0.61%"
"08/11/2022","114,100.0","116,500.0","117,000.0","114,100.0","726.20K","-2.06%"
"08/10/2022","116,500.0","116,700.0","116,700.0","115,500.0","437.50K","-0.17%"
"08/09/2022","116,700.0","117,500.0","117,500.0","115,800.0","512.50K","0.00%"
"08/08/2022","116,700.0","115,000.0","117,900.0","114,900.0","1.24M","1.57%"
"08/05/2022","114,900.0","116,000.0","116,000.0","114,900.0","449.40K","-0.95%"
"08/04/2022","116,000.0","116,100.0","116,300.0","114,600.0","469.70K","0.00%"
"08/03/2022","116,000.0","115,100.0","116,000.0","114,500.0","659.80K","-0.43%"
"08/02/2022","116,500.0","116,000.0","116,800.0","114,400.0","424.50K","-0.43%"
"08/01/2022","117,000.0","114,000.0","117,500.0","113,500.0","511.20K","2.63%"
"07/29/2022","114,000.0","113,800.0","114,000.0","112,600.0","1.16M","0.88%"
"07/28/2022","113,000.0","112,900.0","114,600.0","111,000.0","709.00K","0.71%"
"07/27/2022","112,200.0","111,500.0","112,200.0","110,900.0","285.00K","0.18%"
"07/26/2022","112,000.0","113,000.0","113,100.0","112,000.0","317.30K","-1.06%"
"07/25/2022","113,200.0","114,400.0","114,400.0","112,800.0","205.60K","-1.14%"
"07/22/2022","114,500.0","114,000.0","115,800.0","114,000.0","342.00K","0.44%"
"07/21/2022","114,000.0","113,700.0","114,700.0","112,000.0","646.60K","0.35%"
"07/20/2022","113,600.0","112,800.0","114,300.0","111,200.0","896.90K","2.81%"
"07/19/2022","110,500.0","113,500.0","113,500.0","110,500.0","511.50K","-2.64%"
"07/18/2022","113,500.0","115,000.0","115,000.0","113,000.0","478.50K","0.00%"
"07/15/2022","113,500.0","116,200.0","116,200.0","112,000.0","682.90K","-1.73%"
"07/14/2022","115,500.0","114,500.0","115,500.0","112,800.0","363.00K","0.43%"
"07/13/2022","115,000.0","116,800.0","116,800.0","114,000.0","489.40K","-1.54%"
