"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2022","68,100","70,000","70,000","61,900","1.60M","2.41%"
"10/13/2022","66,500","64,100","66,500","62,700","1.60M","3.91%"
"10/12/2022","64,000","63,000","65,300","62,200","1.52M","3.23%"
"10/11/2022","62,000","65,300","66,000","62,000","1.16M","-4.76%"
"10/10/2022","65,100","66,500","67,700","64,100","1.32M","-2.40%"
"10/07/2022","66,700","69,600","69,600","65,300","2.11M","-4.85%"
"10/06/2022","70,100","72,000","72,000","69,900","751.50K","-1.96%"
"10/05/2022","71,500","71,400","72,000","71,100","835.00K","0.28%"
"10/04/2022","71,300","70,000","71,900","69,500","1.28M","0.99%"
"10/03/2022","70,600","73,500","73,800","70,300","894.90K","-3.55%"
"09/30/2022","73,200","73,200","74,300","72,400","1.26M","-1.08%"
"09/29/2022","74,000","76,000","76,000","74,000","587.80K","-1.33%"
"09/28/2022","75,000","74,000","75,000","73,800","587.70K","0.94%"
"09/27/2022","74,300","76,000","76,000","74,200","653.40K","-0.93%"
"09/26/2022","75,000","75,100","77,000","74,100","1.26M","-1.19%"
"09/23/2022","75,900","77,200","77,700","75,800","1.03M","-2.69%"
"09/22/2022","78,000","77,700","78,600","77,500","1.18M","-1.14%"
"09/21/2022","78,900","79,300","79,600","77,900","499.20K","-0.38%"
"09/20/2022","79,200","78,800","80,000","78,600","521.20K","0.51%"
"09/19/2022","78,800","79,000","80,200","78,000","938.50K","-1.50%"
"09/16/2022","80,000","79,300","80,000","78,500","1.52M","1.01%"
"09/15/2022","79,200","78,500","79,300","78,100","611.90K","1.15%"
"09/14/2022","78,300","77,200","79,500","77,000","1.09M","-0.38%"
"09/13/2022","78,600","79,400","79,400","78,600","1.19M","-0.63%"
"09/12/2022","79,100","79,600","79,700","78,800","700.80K","0.38%"
"09/09/2022","78,800","78,500","79,300","78,200","1.03M","1.03%"
"09/08/2022","78,000","80,900","80,900","78,000","1.07M","-2.50%"
"09/07/2022","80,000","82,000","82,500","79,800","2.29M","-3.26%"
"09/06/2022","82,700","82,600","84,000","82,100","1.03M","0.12%"
"09/05/2022","82,600","84,000","84,300","82,500","1.55M","-1.67%"
"08/31/2022","84,000","86,000","86,500","84,000","1.06M","-2.33%"
"08/30/2022","86,000","82,500","86,000","82,500","2.50M","4.24%"
"08/29/2022","82,500","81,400","82,500","80,900","951.50K","0.00%"
