"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2022","74,140.0","74,000.0","74,500.0","73,500.0","1.44M","0.46%"
"10/13/2022","73,800.0","71,000.0","73,800.0","70,800.0","3.17M","3.07%"
"10/12/2022","71,600.0","70,500.0","71,700.0","70,100.0","1.27M","1.99%"
"10/11/2022","70,200.0","70,500.0","71,500.0","69,600.0","1.72M","-0.43%"
"10/10/2022","70,500.0","68,500.0","71,500.0","67,400.0","1.66M","1.00%"
"10/07/2022","69,800.0","69,300.0","71,300.0","66,500.0","2.69M","-0.29%"
"10/06/2022","70,000.0","71,300.0","71,400.0","70,000.0","1.50M","-2.23%"
"10/05/2022","71,600.0","71,000.0","72,000.0","71,000.0","1.49M","0.99%"
"10/04/2022","70,900.0","71,800.0","71,800.0","70,000.0","1.63M","-0.14%"
"10/03/2022","71,000.0","71,900.0","72,500.0","71,000.0","2.04M","-1.80%"
"09/30/2022","72,300.0","71,900.0","73,300.0","71,900.0","2.35M","-0.55%"
"09/29/2022","72,700.0","72,900.0","73,500.0","72,200.0","2.03M","1.25%"
"09/28/2022","71,800.0","72,000.0","73,000.0","70,900.0","2.15M","-0.83%"
"09/27/2022","72,400.0","74,500.0","74,900.0","72,300.0","2.42M","-2.16%"
"09/26/2022","74,000.0","75,800.0","76,200.0","73,700.0","3.39M","-3.52%"
"09/23/2022","76,700.0","77,000.0","77,300.0","76,500.0","1.40M","-0.26%"
"09/22/2022","76,900.0","76,600.0","77,100.0","76,000.0","1.03M","0.00%"
"09/21/2022","76,900.0","75,700.0","77,600.0","75,600.0","2.48M","1.45%"
"09/20/2022","75,800.0","75,300.0","76,200.0","75,300.0","1.14M","0.80%"
"09/19/2022","75,200.0","75,600.0","75,700.0","74,900.0","1.42M","-1.05%"
"09/16/2022","76,000.0","74,700.0","76,000.0","74,400.0","2.31M","2.01%"
"09/15/2022","74,500.0","74,100.0","75,200.0","74,100.0","1.21M","0.68%"
"09/14/2022","74,000.0","74,900.0","75,000.0","73,800.0","2.04M","-2.25%"
"09/13/2022","75,700.0","75,200.0","76,000.0","75,200.0","1.56M","0.53%"
"09/12/2022","75,300.0","76,000.0","76,200.0","75,300.0","1.39M","-0.79%"
"09/09/2022","75,900.0","75,900.0","76,500.0","75,500.0","1.19M","0.26%"
"09/08/2022","75,700.0","76,000.0","76,500.0","75,200.0","1.35M","0.00%"
"09/07/2022","75,700.0","77,800.0","77,800.0","75,700.0","2.92M","-2.70%"
"09/06/2022","77,800.0","77,500.0","79,000.0","77,300.0","2.65M","0.39%"
"09/05/2022","77,500.0","75,500.0","77,800.0","75,500.0","3.17M","2.65%"
"08/31/2022","75,500.0","75,900.0","76,400.0","75,500.0","1.66M","-0.66%"
"08/30/2022","76,000.0","75,500.0","76,400.0","75,500.0","2.23M","0.66%"
"08/29/2022","75,500.0","76,100.0","76,300.0","75,400.0","3.31M","-1.82%"
"08/26/2022","76,900.0","77,800.0","78,100.0","76,200.0","2.46M","-1.28%"
"08/25/2022","77,900.0","77,900.0","78,300.0","77,000.0","2.18M","0.26%"
"08/24/2022","77,700.0","75,800.0","78,300.0","75,800.0","5.44M","2.51%"
"08/23/2022","75,800.0","73,700.0","75,900.0","73,600.0","4.55M","2.85%"
"08/22/2022","73,700.0","74,100.0","74,800.0","73,700.0","2.07M","-0.54%"
"08/19/2022","74,100.0","73,400.0","74,500.0","72,900.0","5.23M","0.95%"
"08/18/2022","73,400.0","72,600.0","73,600.0","72,600.0","4.23M","1.10%"
"08/17/2022","72,600.0","71,800.0","72,600.0","71,700.0","1.32M","1.11%"
"08/16/2022","71,800.0","71,800.0","72,400.0","71,700.0","1.69M","0.42%"
"08/15/2022","71,500.0","72,000.0","72,000.0","71,300.0","2.53M","-0.56%"
"08/12/2022","71,900.0","71,000.0","71,900.0","71,000.0","1.80M","1.13%"
"08/11/2022","71,100.0","72,600.0","72,600.0","70,700.0","3.88M","-1.93%"
"08/10/2022","72,500.0","72,000.0","72,600.0","72,000.0","1.54M","0.69%"
"08/09/2022","72,000.0","72,200.0","72,400.0","72,000.0","2.13M","-0.28%"
"08/08/2022","72,200.0","72,500.0","72,500.0","72,100.0","2.80M","-0.55%"
"08/05/2022","72,600.0","73,300.0","73,400.0","72,600.0","2.14M","-0.95%"
